type,pair,dataset,subset_idx,D_f,hq_mean,corr,wavelet_corr,weight,tci_global,mci_global,fold_idx,tmci_value,tmci_global,tmci_std_cv
TMCI_fold,,,,,,,,,,,0,0.9386689458568985,,
TMCI_fold,,,,,,,,,,,1,0.9398329678504347,,
TMCI_fold,,,,,,,,,,,2,0.9394528745689747,,
MFDFA_subset,,LIGO-L1_1368350720,0,1.1608128076441322,1.1065017543169149,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,1,1.2463841852759971,1.16251729557449,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,2,1.2404990593758474,1.1630846395127772,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,3,1.2705693890553456,1.1777211391144928,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,4,1.1658609432813754,1.1071922564879433,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,5,1.228698176227403,1.1539111893502896,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,6,1.1923649307271875,1.1307674491944644,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,7,1.2413577243871645,1.1648534908466044,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,8,1.2285166739698083,1.1556951595373892,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,9,1.2515206485807129,1.167384862596795,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,10,1.223397893112523,1.1511202197585524,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,11,1.2117279122861648,1.1395296657630225,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,12,1.244197731005993,1.1681329249183716,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,13,1.2515999143455738,1.1717358347131397,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,14,1.2368919708442032,1.1611595271587236,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,15,1.1823370465546705,1.1199972493031607,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,16,1.2085461487633857,1.144562275031622,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,17,1.1848443772993522,1.1248985957267073,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,18,1.1758244877454203,1.1192120610129022,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,19,1.2700058830254748,1.1815632618889462,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,20,1.1576412466250792,1.1068289923253027,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,21,1.2427349541573416,1.1643047197627827,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,22,1.11661363431494,1.0809337304163615,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,23,1.2306216276618298,1.1561072572436177,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,24,1.2311780850416874,1.1609409479563706,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,25,1.194709677481078,1.1317641591516154,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,26,1.2193854694913828,1.157334256193622,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,27,1.2401076696822253,1.1629010495606327,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,28,1.1961429568830508,1.1325587744940575,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,29,1.2612363077527409,1.1766583038575775,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,30,1.245117447096591,1.1674987204094203,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,31,1.1881493897531992,1.1244845801061543,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,32,1.195483800495415,1.1347721510437874,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,33,1.2342944613410063,1.1595325098294658,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,34,1.2770960553363828,1.1852500796418013,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,35,1.2319671104495113,1.1588777293287655,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,36,1.2120329134560581,1.1434923039150198,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,37,1.2155103607202198,1.149644364607829,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,38,1.1575433939578306,1.1067229796080507,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,39,1.2279482939080832,1.1535630100761145,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,40,1.2166489095976107,1.1490599164049962,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,41,1.262518514978233,1.1748017947702345,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,42,1.2027572076687036,1.1359251642546062,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,43,1.1873925990819105,1.1251846424279646,,,,,,,,,
MFDFA_subset,,LIGO-L1_1368350720,44,1.190166193499933,1.128557474160385,,,,,,,,,
